verse,source_text,target_text,pred_text
GEN 1:1,in the beginning god created the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha."
GEN 1:2,and the earth was waste and void; and darkness was upon the face of the deep: and the spirit of god moved upon the face of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Aa ètu rai-haha ne jꞌajꞌi mèu-mèu, aa ètu rai-haha ne jꞌajꞌi mèu-mèu."
GEN 1:3,"and god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Bèli-camèdꞌa jꞌajꞌi mèu-mèu!"" Hèia jꞌajꞌi mèu-mèu."
GEN 1:4,"and god saw the light, that it was good: and god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci nèti saraa ne."
GEN 1:5,"and god called the light day, and the darkness he called night. and there was evening and there was morning, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare mèngi-nale mèngi-nale mèngi-nale. Ama Lamatua hagꞌe nare mèngi-nale mèngi-nale mèngi-nale mèngi-nale mèngi-nale."
GEN 1:6-7,"and god said, let there be a firmament in the midst of the waters, and let it divide the waters from the waters. and god made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka jꞌajꞌi dedha-liru èci, èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi dedha-liru èci, sèna ka jꞌajꞌi èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi."
GEN 1:8,"and god called the firmament heaven. and there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, bèli-camèdꞌa madꞌae. Èle èèna ka, bèli-camèdꞌa hari ka dua."
GEN 1:9,"and god said, let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa jꞌajꞌi ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi."
GEN 1:10,and god called the dry land earth; and the gathering together of the waters called he seas: and god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare rai èèna, jꞌajꞌi rai-haha. Aa èi dhu pakaboko èèna, Na hagꞌe nare rai-haha ne, jꞌajꞌi dhasi. Hèia Ama Lamatua ladhe-leru, na, jꞌara neꞌe beꞌa."
GEN 1:11,"and god said, let the earth put forth grass, herbs yielding seed, and fruit-trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi dhu hua-hela. Aa aaꞌi-aaꞌi dhu hua-hela ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi dhu hua-hela ètu rai-haha ne."" Hèia jꞌajꞌi sèmi èèna kahèi."
