verse,source_text,target_text,pred_text
GEN 1:1,"long, long ago god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha."
GEN 1:2,"when he began to create the earth, it was shapeless and completely desolate/chaotic. darkness covered the deep water that surrounded the earth. and the spirit of god was hovering over the water.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo Ama Lamatua pajꞌajꞌi rai-haha ne, dꞌara maroga ètu dedha rai-haha ne, aa dꞌara maroga ètu dedha rai-haha ne. Aa Roh Ama Lamatua ètu dedha rai-haha ne."
GEN 1:3,"god said, i want light to shine! and light shone.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Jaꞌa manèngi-mangajꞌi mèngi-nale."""
GEN 1:4,"god was pleased with the light. then he made the light to shine in some places, and in other places there was still darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padꞌelo dꞌara hua iia Na. Hèia Ama Lamatua pajꞌajꞌi saraa ètu rai-haha ne. Te ngaa rai-haha ne jꞌajꞌi maroga toke dꞌai mia-mia."
GEN 1:5,"he gave to the light the name ‘day', and he gave to the darkness the name ‘night'. after that, there was an evening which was followed by a morning. he called that whole period of time ‘the first day'.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Ama Lamatua paroa mèdha-panyau ne, ""Dhèu"" aa pèri-pèri mèdha-panyau ne, ""Bèli-camèdꞌa"". Nèti èèna ka, bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa. Bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa. Nèti èèna ka, Ama Lamatua paroa mèdha-panyau ne, ""Dhèu Aae"" aa paroa mèdha-panyau ne, peka na, ""Bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa."
GEN 1:6-7,"then god said, i command that there be an empty space like a huge dome to separate the water that is above it from the water on the earth that is below it! and that is what happened. god gave to the space the name ‘sky'.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge ne, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa peka dènge Ama Lamatua, aku Nèngu na, 'Lii-Lii', sèna ka jꞌajꞌi èci dènge èci, nuka èi dhu ètu dedha-liru dènge èi dhu ètu rai-haha ne."" Nèti èèna ka, Ama Lamatua paroa èèna, peka na, ""Lii-Lii ètu dedha-liru èèna, nuka èi dhu ètu dedha-liru dènge èi dhu ètu rai-haha ne."""
GEN 1:8,"then there was another evening, which was followed by another morning. he called that period of time ‘the second day'.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Ka lodꞌo èèna jꞌajꞌi hari, ka lodꞌo èèna jꞌajꞌi hari."
GEN 1:9,"then god said, i want the water that is below the sky to come together, and dry ground to appear and rise above the water. and that is what happened.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge ne, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka èi dhu ètu dedha-liru jꞌajꞌi èci dènge èci, aa jꞌajꞌi rai dhu kapodꞌe-kabèli ètu dedha-liru."" Hèia jꞌajꞌi sèmi èèna kahèi."
GEN 1:10,"god gave to the ground the name ‘earth', and he gave to the water that came together the name ‘oceans'. god was pleased with the earth and the oceans.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha.' Aa èi dhu pakaboko èèna, Na pangare rai-haha ne, 'Dhèu rai-haha.' Èle èèna ka, Ama Lamatua padꞌelo dꞌara hua iia Na mi rai-haha ne dènge dhasi."
GEN 1:11,"then god said, i want the earth to produce plants, including plants that will produce seeds and trees that will produce fruit. each kind of tree will bear its own kind of fruit.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne hia hua-hela. Aa ajꞌu aaꞌi-aaꞌi dhu hia hua-hela, nuka sèmi rèngu. Aa ajꞌu aaꞌi-aaꞌi dhu hia hua-hela, nuka sèmi èèna."
